text,isBot,score_tag,agreement,subjectivity,confidence,irony,joy,surprise,fear,sadness,anger,urlsCount,mentionsCount,isRetweet,wordsCount
@Prinnysparkles Music should strike fire from the heart of man and bring tears from the eyes of woman. - Ludwig van Beethoven,1,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.370571494102478,0.3024212419986725,0.19778230786323547,0.09496399760246277,0.03426099568605423,0,1,0,22
@prachtlamas Danke das werde ich bestimmt in nächster Zeit mal tun. Schönen Abend! :),1,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.6778501272201538,0.225673109292984,0.05752938613295555,0.022815711796283722,0.016131646931171417,0,1,0,14
@valdarcala please follow me,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.3365311622619629,0.23410920798778534,0.21376651525497437,0.15034854412078857,0.06524460017681122,0,1,0,4
@cydneypoppins2 Now is the time. Needs are great but your possibilities are greater. - Bill Blackman,1,P+,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.32338863611221313,0.26786378026008606,0.229213148355484,0.17295880615711212,0.006575617007911205,0,1,0,16
@biebertherapper We make a living by what we get we make a life by what we give. - Winston Churchill,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.43374669551849365,0.16955772042274475,0.16754524409770966,0.16035886108875275,0.0687914788722992,0,1,0,20
Ended the day in a and note fukk you,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.4050688147544861,0.1990857869386673,0.19464415311813354,0.10540162771940231,0.09579961001873016,0,0,0,9
RT @Metro_TV: Gerald Pangkali: Kita Kembali kepada Kinerja Wasit   http://t.co/Dtr7jIpBor,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.5281898379325867,0.2398245930671692,0.11263450980186462,0.08174929767847061,0.03760174661874771,1,1,1,10
Why do people act like LeBron was the first person to do the powder toss?,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.5611701607704163,0.27581754326820374,0.1029520183801651,0.049806661903858185,0.010253588669002056,0,0,0,15
A leader has the vision and conviction that a dream can be achieved. He inspires the power and energy to get it done. - Ralph Lauren,1,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.3800731897354126,0.30389291048049927,0.18211917579174042,0.12474530190229416,0.009169436059892178,0,0,0,26
@ngxinyyu Nothing not even sheer ability can make up for the dedication required for a successful business career. - Ray Eppert,1,N+,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.24091140925884247,0.2316027581691742,0.18760445713996887,0.18249830603599548,0.1573830246925354,0,1,0,21
@NJoshuaDart very cool,1,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.3227851986885071,0.20931163430213928,0.17130152881145477,0.15259526669979095,0.1440064013004303,0,1,0,3
@liveyoucaique awsome,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.33231687545776367,0.2146967053413391,0.18614649772644043,0.1415424942970276,0.1252974271774292,0,1,0,2
@GarrettArt Whatever advice you give be brief. - Horace,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.3255477249622345,0.3022495210170746,0.16775885224342346,0.12522688508033752,0.07921706140041351,0,1,0,9
What must i do to make you understand...??,1,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.5648090839385986,0.23055559396743774,0.14527210593223572,0.035985998809337616,0.02337728999555111,0,0,0,8
@M_Gutowsky Mir geht's gut! :) Und bei dir auch alles okay?,1,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.4622255563735962,0.23873677849769592,0.23731665313243866,0.0431380420923233,0.01858295127749443,0,1,0,11
@kotetu5000 @brave03 リツイート解除じゃなくて連携解除しなさいよwwwww,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.46192464232444763,0.2035333216190338,0.1427813321352005,0.11185205727815628,0.07990866899490356,0,2,0,3
@LaunchBubble nice...,1,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.36245355010032654,0.18821102380752563,0.177267387509346,0.15599489212036133,0.11607310175895691,0,1,0,2
A life without love is like a year without summer. - Swedish Proverb,1,N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.49179190397262573,0.35404378175735474,0.06768517941236496,0.04776030406355858,0.0387188158929348,0,0,0,13
one.,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.23314480483531952,0.2123224437236786,0.20197448134422302,0.18623527884483337,0.16632302105426788,0,0,0,1
The time is always right to do what is right. - Martin Luther King Jr.,1,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.2867337465286255,0.2580241858959198,0.1849336475133896,0.14121779799461365,0.12909063696861267,0,0,0,15
@2200GRAMS Where your talents and the needs of the world cross lies your calling. - Aristotle,1,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.43342041969299316,0.3720158636569977,0.11618492007255554,0.05055274814367294,0.02782605029642582,0,1,0,16
No logic whatsoever but the music was good good editors. @emafabolous: @ImrKil It SUCKS!,1,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.3827728033065796,0.27477484941482544,0.19586694240570068,0.10862915217876434,0.03795626014471054,0,2,0,14
Improvement begins with I. - Arnold . Glasgow,1,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.501457154750824,0.33754152059555054,0.07945477962493896,0.054401688277721405,0.02714485488831997,0,0,0,8
@CHOCOICE_JINRYU Please follow me,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.33197957277297974,0.23857730627059937,0.18059071898460388,0.1627306342124939,0.08612177520990372,0,1,0,4
Everybody watching drumline???,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.3084637224674225,0.23412923514842987,0.2136375606060028,0.17135587334632874,0.07241359353065491,0,0,0,3
@dmarc_24 Cool page,1,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.3974520266056061,0.19718101620674133,0.1685553938150406,0.12830573320388794,0.10850581526756287,0,1,0,3
When everything seems to be going against you remember that the airplane takes off against the wind not with it. - Henry Ford,1,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.5180297493934631,0.27601444721221924,0.1516544222831726,0.0369979664683342,0.01730342209339142,0,0,0,23
@UnlovedTrash T-Trubbish..? Tom floated right above where he hid with a curious look.,1,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.34874656796455383,0.24923375248908997,0.23676615953445435,0.09673088788986206,0.0685226172208786,0,1,0,13
when you're lonely all you gotta do is call me. you know you're my one and only. come next to me lemme take you on a journey ?,1,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.4641416370868683,0.19966018199920654,0.18796497583389282,0.0981082022190094,0.05012500286102295,0,0,0,28
RT @JenSelter: Can't sleep,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.27749237418174744,0.2532760500907898,0.20512709021568298,0.1895759403705597,0.0745285227894783,0,1,1,4
I won't reply to you if you send one word texts so don't get mad at me for not replying when you're the one who's one wording me.,1,P,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.8620709180831909,0.09443037211894989,0.03731876239180565,0.0035267374478280544,0.0026532975025475025,0,0,0,28
The more reasons you have for achieving your goal the more determined you will become. - Brian Tracy,1,P+,AGREEMENT,OBJECTIVE,98,NONIRONIC,0.3911679983139038,0.2141524851322174,0.1886119544506073,0.1168585866689682,0.08920899778604507,0,0,0,18
@gangrenadiario WOW,1,NONE,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.40553462505340576,0.16343483328819275,0.15570111572742462,0.14926943182945251,0.12605997920036316,0,1,0,2
If you have choices choose the best. If you have no choice do the best.,1,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.2633292078971863,0.20723974704742432,0.1858886182308197,0.18001006543636322,0.16353237628936768,0,0,0,15
@metalinsider you're awesome,1,P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.5494593381881714,0.30641934275627136,0.04946552962064743,0.04934438318014145,0.04531135410070419,0,1,0,3
@Herostrain The superior man is modest in his speech but exceeds in his actions. - Confucius,1,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.38455435633659363,0.33358901739120483,0.14894768595695496,0.0774642750620842,0.055444639176130295,0,1,0,16
if you loved me you would be here with me...,1,P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.5681711435317993,0.2161143720149994,0.12087416648864746,0.05729556828737259,0.03754475712776184,0,0,0,10
@staticinverona It's simple ... go the extra mile and you will stand out from the crowd. - Robin Crow,1,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.44296833872795105,0.2725459635257721,0.1647273749113083,0.10821816325187683,0.011540140956640244,0,1,0,19
@Rahmawati765 wow,1,NONE,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.40553462505340576,0.16343483328819275,0.15570111572742462,0.14926943182945251,0.12605997920036316,0,1,0,2
That's the pussy step dad shit I be talking about.... If it wasn't for my mom we would've been threw the hands,1,N+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.5528663396835327,0.312348872423172,0.08013734221458435,0.045340731739997864,0.009306713938713074,0,0,0,22
That's my issue.,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.37900078296661377,0.2574695944786072,0.19112907350063324,0.11643382906913757,0.05596672371029854,0,0,0,3
“@Dammm_sunny: @kiddklassik lol well u gon be whatever I call u lol I got another name but imma Dave that for later lol”,1,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.43559443950653076,0.34129735827445984,0.1172839105129242,0.07723647356033325,0.028587792068719864,0,2,0,23
LOL habang gumagawa ng project? Nico yan ihh. Haha,1,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.287598580121994,0.23613885045051575,0.1800655871629715,0.17675161361694336,0.11944535374641418,0,0,0,9
@Ari_Communism It is a rough road that leads to the heights of greatness. - Seneca,1,P,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,0.3960838317871094,0.2258889079093933,0.15090662240982056,0.1298999786376953,0.09722069650888443,0,1,0,15
?????,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.2663515508174896,0.21004599332809448,0.19698724150657654,0.16816328465938568,0.1584518849849701,0,0,0,1
Shower w music is ??????,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.6579041481018066,0.11542612314224243,0.08356301486492157,0.08170367777347565,0.061403073370456696,0,0,0,5
@keri843 cool page.,1,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.24731692671775818,0.2325572669506073,0.196268230676651,0.17965446412563324,0.1442030966281891,0,1,0,3
You know ashton's hair in that keek when he's wearing the pony and in catering again bc i want that fUCKING HAIR AGAIN,1,N+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.5608036518096924,0.20866341888904572,0.10096941888332367,0.06665372848510742,0.06290976703166962,0,0,0,23
I met with my wonderful daughter yesterday. She is expecting twins in June and I felt her babes kicking. What a great experience. #proudpapa,1,P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.6090329885482788,0.3198466897010803,0.04312018305063248,0.02355087921023369,0.004449254833161831,0,0,0,24
Top 3 music videos of the year so far:,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.4190862476825714,0.32271257042884827,0.13532795011997223,0.0641622543334961,0.058710984885692596,0,0,0,9
@fucksahara Do not wait for leaders; do it alone person to person. - Mother Teresa,1,N,AGREEMENT,OBJECTIVE,92,NONIRONIC,0.6159172654151917,0.17344152927398682,0.08964239060878754,0.06961295753717422,0.05138587951660156,0,1,0,15
@godsangell We will either find a way or make one. - Hannibal,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.5661032199859619,0.19231532514095306,0.1138005182147026,0.11348360776901245,0.014297330752015114,0,1,0,12
Never let other ppl tell you what to think or believe gotta find things out for yourself ya kno.,1,NONE,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.3376343250274658,0.26538214087486267,0.21149009466171265,0.16250556707382202,0.022987857460975647,0,0,0,19
RT @ConanOBrien: Let’s just agree any group of 3 or more handsome British men should be referred to as a “cumberbatch.”,1,P+,AGREEMENT,SUBJECTIVE,98,NONIRONIC,0.3842328190803528,0.2873309254646301,0.1505821794271469,0.09847244620323181,0.07938164472579956,0,1,1,21
@Diana050399 nice!,1,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.4441390037536621,0.28388598561286926,0.11155766248703003,0.08761583268642426,0.07280152291059494,0,1,0,2
@Enide_Ghost What's wrong with that...? You.. Look really cute..,1,P,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.3638555109500885,0.32761555910110474,0.1768409013748169,0.08833656460046768,0.04335146024823189,0,1,0,9
Improve your spare moments and they will become the brightest gems in your life. - Ralph Waldo Emerson,1,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.495805025100708,0.30606740713119507,0.0974220335483551,0.07319605350494385,0.027509447187185287,0,0,0,18
@chrizzyjordvn If opportunity doesn't knock build a door. - Milton Berle,1,P,AGREEMENT,OBJECTIVE,92,NONIRONIC,0.34555619955062866,0.2589389383792877,0.21651235222816467,0.12058481574058533,0.05840764567255974,0,1,0,11
@BigGhostLtd ahh,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.28096243739128113,0.24504102766513824,0.2025902420282364,0.13655076920986176,0.13485553860664368,0,1,0,2
@PatDhat you're awesome,1,P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.5494593381881714,0.30641934275627136,0.04946552962064743,0.04934438318014145,0.04531135410070419,0,1,0,3
@_FlyBoiErrey Please follow me,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.37799444794654846,0.2440858781337738,0.1983305811882019,0.13028843700885773,0.04930061101913452,0,1,0,4
@OnlyMe_Brianna !,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.4427693784236908,0.26904231309890747,0.1051497608423233,0.09333403408527374,0.08970454335212708,0,1,0,2
why am I awake and why am I in my feelings,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.4098449945449829,0.37550991773605347,0.11740124225616455,0.05795782059431076,0.039285995066165924,0,0,0,11
If we do not plant knowledge when young it will give us no shade when we are old. - Lord Chesterfield,1,P,AGREEMENT,OBJECTIVE,92,NONIRONIC,0.39114218950271606,0.3373197615146637,0.18034237623214722,0.05844752863049507,0.03274819254875183,0,0,0,21
RT @NylonMag: How @itsmeleighton is putting @gossipgirl behind her: http://t.co/agh8YPSG9r http://t.co/5NXd14sX41,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.5208041667938232,0.2931177616119385,0.1461087167263031,0.03136259317398071,0.00860680639743805,2,3,1,11
@Cimot_Kepo The question isn't who is going to let me; it's who is going to stop me. - Ayn Rand,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.2910833954811096,0.23195552825927734,0.22614380717277527,0.1843959540128708,0.06642130017280579,0,1,0,20
what i would give to be in portugal right now,1,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.3909176290035248,0.25381287932395935,0.20248070359230042,0.08767059445381165,0.06511813402175903,0,0,0,10
@heyshaf NICE,1,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.3793295919895172,0.20968887209892273,0.16684526205062866,0.1255301982164383,0.1186060905456543,0,1,0,2
Just got the email back regarding job #2...,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.5744050741195679,0.1861850619316101,0.10908350348472595,0.10803721845149994,0.022289101034402847,0,0,0,8
Good ting Rap Genius doh cover soca music cuz dey woulda have a hard time decipherin this song #BMT,1,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.37586137652397156,0.2702198326587677,0.17054249346256256,0.1302647590637207,0.05311151593923569,0,0,0,19
Believe deep down in your heart that you're destined to do great things. - Joe Paterno,1,P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.3352855145931244,0.2651897966861725,0.17729386687278748,0.11836004257202148,0.10387074947357178,0,0,0,16
@NeikoDeBarge awsome,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.33231687545776367,0.2146967053413391,0.18614649772644043,0.1415424942970276,0.1252974271774292,0,1,0,2
@WichoBeatz you're awesome,1,P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.5494593381881714,0.30641934275627136,0.04946552962064743,0.04934438318014145,0.04531135410070419,0,1,0,3
FALAR,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.22237756848335266,0.21934738755226135,0.21248570084571838,0.18656747043132782,0.15922187268733978,0,0,0,1
@Under_5ft You must take action now that will move you towards your goals. Develop a sense of urgency in your life. - Les Brown,1,P+,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.3467322587966919,0.30042707920074463,0.17375734448432922,0.12804469466209412,0.05103860795497894,0,1,0,24
@Pyfbrown Faith is taking the first step even when you don't see the whole staircase. - Martin Luther King Jr.,1,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.25181102752685547,0.25125348567962646,0.20907306671142578,0.20536842942237854,0.08249405026435852,0,1,0,20
@iamkmh_sc BI EKTIP PLS~,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.2690209746360779,0.2436792254447937,0.22524914145469666,0.16460546851158142,0.09744516015052795,0,1,0,4
My best song for feb was definitely Nosa's always on my mind,1,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.28058695793151855,0.25882193446159363,0.18793976306915283,0.1434691995382309,0.1291821300983429,0,0,0,12
@54j33dh4 Believe and act as if it were impossible to fail. - Charles F. Kettering,1,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.38368314504623413,0.3594551682472229,0.20911605656147003,0.030385702848434448,0.017359919846057892,0,1,0,15
@5secs0fparam0re hi,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.28253090381622314,0.21716007590293884,0.19294588267803192,0.16495643556118011,0.14240673184394836,0,1,0,2
@amirxkhld_ NICE,1,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.44638094305992126,0.19419606029987335,0.13302908837795258,0.11574706435203552,0.1106468215584755,0,1,0,2
Nothing is more expensive than a missed opportunity. - . Jackson Brown,1,P+,AGREEMENT,SUBJECTIVE,90,NONIRONIC,0.5694327354431152,0.13596223294734955,0.11075796186923981,0.09327395260334015,0.09057308733463287,0,0,0,12
@soal_KPOP He who is not courageous enough to take risks will accomplish nothing in life. - Muhammad Ali,1,N,AGREEMENT,SUBJECTIVE,97,NONIRONIC,0.5864460468292236,0.1332736313343048,0.10126109421253204,0.09052359312772751,0.0884956642985344,0,1,0,18
@MOHANEDAHMED_ f4f please!,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.3412296175956726,0.31398239731788635,0.16345569491386414,0.1233622282743454,0.0579700693488121,0,1,0,3
@LA_Promoter Ambition has one heel nailed in well though she stretch her fingers to touch the heavens. - Lao Tzu,1,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.27355578541755676,0.2575470507144928,0.24782758951187134,0.18140819668769836,0.039661385118961334,0,1,0,20
RT @AlAnba_News_KW: بالصور.. تعرف على أفخم الوحدات السكنية في الإمارات  http://t.co/313yVVF0qK,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.4819144606590271,0.4019428491592407,0.08882886916399002,0.0226580947637558,0.004655712284147739,1,1,1,11
@wesnakedd I began learning long ago that those who are happiest are those who do the most for others. - Booker T. Washington,1,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.2668234705924988,0.24904683232307434,0.16585694253444672,0.1616552472114563,0.15661747753620148,0,1,0,23
When your going through a rough time and you are pushed down to your knees you are in the perfect position to pray...,1,P,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,0.5107758045196533,0.3034626245498657,0.13220568001270294,0.03694423288106918,0.016611643135547638,0,0,0,23
I'm on one of those moods where I really want to listen to music but I can't find the right song. Hhhh.,1,N,AGREEMENT,OBJECTIVE,92,NONIRONIC,0.6083034873008728,0.23851221799850464,0.1094389334321022,0.02434711903333664,0.019398242235183716,0,0,0,22
@victoriaxdelrio The less you open your heart to others the more your heart suffers. - Deepak Chopra,1,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.38283658027648926,0.38236844539642334,0.13542404770851135,0.08651520311832428,0.012855744920670986,0,1,0,17
RT @marktonythought: This Guy Decided To Cheat On His Girlfriend. What She Did About It Is EPIC,1,P,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,0.6674656867980957,0.16972500085830688,0.061606138944625854,0.05359862372279167,0.047604627907276154,0,1,1,17
@Danny_Peru Happiness is found in doing not merely possessing. - Napoleon Hill,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.4335591197013855,0.33912819623947144,0.15050089359283447,0.05033937096595764,0.02647247724235058,0,1,0,12
Man Cakes The Fuk Up,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.3170788288116455,0.24479585886001587,0.2018415331840515,0.17564690113067627,0.06063687428832054,0,0,0,5
@Brad88ford Instinct is untaught ability. - Alexander Bain,1,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.27753180265426636,0.20504724979400635,0.18852820992469788,0.17707553505897522,0.1518172025680542,0,1,0,8
I aim to high thus I get denied,1,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.39884841442108154,0.3034099042415619,0.1987374871969223,0.07956653088331223,0.01943768747150898,0,0,0,8
This Old Ass Song.,1,N+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.6790724396705627,0.17984312772750854,0.08236373960971832,0.03554704785346985,0.02317362278699875,0,0,0,4
Where the hell is all the fun at and why am I not there,1,P,AGREEMENT,SUBJECTIVE,97,NONIRONIC,0.3958871364593506,0.3869987428188324,0.10768364369869232,0.06616610288619995,0.043264370411634445,0,0,0,14
@MlNlON Even a mistake may turn out to be the one thing necessary to a worthwhile achievement. - Henry Ford,1,P+,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.37945884466171265,0.27133604884147644,0.12648630142211914,0.11157377064228058,0.11114499717950821,0,1,0,20
RT @rioferdy5: BIG morning session done in the gym.. Now aboard flight to #Dublin to see you all later at @easons for my #2Sides book signi…,1,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.4476611614227295,0.25795602798461914,0.14927788078784943,0.11428306996822357,0.03082188405096531,0,2,1,26
@weeshawnaMarie Strength lies in differences not in similarities. - Stephen Covey,1,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.38086700439453125,0.26970231533050537,0.2100755125284195,0.09147251397371292,0.04788264259696007,0,1,0,11
RT @Penampilanku: Jika anda mengingikan sesuatu yang belum anda miliki maka anda akan harus melakukan sesuatu yg belum pernah anda lakukan,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.2899820804595947,0.2524932026863098,0.1978800892829895,0.14358261227607727,0.11606208235025406,0,1,1,21
Winter always turns into spring. - Nichiren,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.25377020239830017,0.24041292071342468,0.23872840404510498,0.21739515662193298,0.04969334229826927,0,0,0,7
i really like that studio song a lot.,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.2759576439857483,0.2491167187690735,0.16370908915996552,0.15998317301273346,0.15123334527015686,0,0,0,8
@dalyjailene cool,1,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.2980537414550781,0.1953466534614563,0.18230053782463074,0.1700815111398697,0.15421748161315918,0,1,0,2
Doing your best is more important than being your best. - Shannon Miller,1,P+,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.7739348411560059,0.13633495569229126,0.05515217408537865,0.021976295858621597,0.012601662427186966,0,0,0,13
Listening to music til I k.o,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.43474167585372925,0.20858490467071533,0.18310493230819702,0.08930240571498871,0.08426608145236969,0,0,0,6
Like if reading off power points is all they're going to do then I'm 100% qualified to be a teacher,1,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.5041556358337402,0.1652585119009018,0.12889185547828674,0.12541137635707855,0.07628265023231506,0,0,0,20
@believfever wow,1,NONE,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.40553462505340576,0.16343483328819275,0.15570111572742462,0.14926943182945251,0.12605997920036316,0,1,0,2
@Tyalll hi,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.28253090381622314,0.21716007590293884,0.19294588267803192,0.16495643556118011,0.14240673184394836,0,1,0,2
@JustinC27 wow,1,NONE,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.40553462505340576,0.16343483328819275,0.15570111572742462,0.14926943182945251,0.12605997920036316,0,1,0,2
FIND OUT ABOUT THE #SEXY #MONESHAJONES AKA @MO_BUDDA HERE==&gt; http://t.co/3BdoLSq80u #RAPPER #MODEL #BIGGBOYMANAGEMENT,1,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.4711347818374634,0.3023087680339813,0.12107953429222107,0.08937195688486099,0.01610490307211876,1,1,0,13
#killzoneshadowfall is a gorgeous game worth 39.99 lol #ps4,1,P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.7554671764373779,0.09163141995668411,0.06975404918193817,0.0540570430457592,0.029090337455272675,0,0,0,9
